0.005,114,117.1,189
0.01,89,90.2,178.7
0.015,89.1,85.9,168.1
0.02,91.8,84.5,165.1
0.025,90.6,85.9,168.6
0.03,87.1,86,167
0.035,87.5,82.8,166.5
0.04,92.4,84.1,169.9
0.045,92.1,82.8,170.8
0.05,89.4,85.2,175.2
0.055,96.8,87.5,178.6
0.06,90.7,88.5,182.3
0.065,90.6,92.2,170.7
0.07,85.6,88,169
0.075,90.7,86,179.4
0.08,88.8,84.3,181.3
0.085,85.9,92.1,191.5
0.09,87.5,87.2,184.3
0.095,85.9,89,180.2
0.1,86,85.1,174.3
0.105,87.5,84.3,167.9
0.11,90.7,82.8,170.7
0.115,84.3,85.9,171
0.12,93.3,83.3,182.4
0.125,90.6,82.8,182.8
0.13,89.9,87.2,176.6
0.135,90.6,85.9,169.4
0.14,92.1,90.4,174.2
0.145,87.5,87.5,166.4
0.15,88.3,91.2,167.7
0.155,95.3,87.4,169.6
0.16,94.6,93.6,178.9
0.165,92.2,85.9,181.7
0.17,91,86.5,172.7
0.175,89.1,87.5,175.2
0.18,90.5,87.7,172.3
0.185,85.9,87.5,167.6
0.19,93.5,87,167.9
0.195,89,89,169.1
0.2,86.4,86.6,164.9
0.205,82.8,84.4,167.3
0.21,87,84.2,169.2
0.215,89,84.4,170.3
0.22,88.3,87,169.1
0.225,89,87.5,168.2
0.23,84.8,90,172.2
0.235,89,90.6,169.7
0.24,84.9,88.4,167.6
0.245,89.1,87.5,166.6
0.25,87.6,88.3,164.2
