0.005,301.5
0.01,291.5
0.015,283.1
0.02,278.0
0.025,276.8
0.03,275.3
0.035,276.4
0.04,278.7
0.045,275.3
0.05,275.6
0.055,279.6
0.06,281.7
0.065,278.8
0.07,283.3
0.075,278.8
0.08,282.0
0.085,279.3
0.09,282.8
0.095,281.9
0.1,279.0
0.105,278.4
0.11,282.7
0.115,279.3
0.12,281.0
0.125,280.4
0.13,282.0
0.135,283.5
0.14,280.6
0.145,277.1
0.15,280.3
0.155,279.8
0.16,281.1
0.165,279.0
0.17,282.4
0.175,283.6
0.18,280.0
0.185,281.9
0.19,279.6
0.195,279.7
0.2,282.6
0.205,283.2
0.21,283.0
0.215,277.1
0.22,278.9
0.225,279.5
0.23,278.5
0.235,279.7
0.24,283.4
0.245,281.1
0.25,278.6
