0.005,114.0
0.01,89.0
0.015,89.1
0.02,91.8
0.025,90.6
0.03,87.1
0.035,87.5
0.04,92.4
0.045,92.1
0.05,89.4
0.055,96.8
0.06,90.7
0.065,90.6
0.07,85.6
0.075,90.7
0.08,88.8
0.085,85.9
0.09,87.5
0.095,85.9
0.1,86.0
0.105,87.5
0.11,90.7
0.115,84.3
0.12,93.3
0.125,90.6
0.13,89.9
0.135,90.6
0.14,92.1
0.145,87.5
0.15,88.3
0.155,95.3
0.16,94.6
0.165,92.2
0.17,91.0
0.175,89.1
0.18,90.5
0.185,85.9
0.19,93.5
0.195,89.0
0.2,86.4
0.205,82.8
0.21,87.0
0.215,89.0
0.22,88.3
0.225,89.0
0.23,84.8
0.235,89.0
0.24,84.9
0.245,89.1
0.25,87.6
