0.005,189.0
0.01,178.7
0.015,168.1
0.02,165.1
0.025,168.6
0.03,167.0
0.035,166.5
0.04,169.9
0.045,170.8
0.05,175.2
0.055,178.6
0.06,182.3
0.065,170.7
0.07,169.0
0.075,179.4
0.08,181.3
0.085,191.5
0.09,184.3
0.095,180.2
0.1,174.3
0.105,167.9
0.11,170.7
0.115,171.0
0.12,182.4
0.125,182.8
0.13,176.6
0.135,169.4
0.14,174.2
0.145,166.4
0.15,167.7
0.155,169.6
0.16,178.9
0.165,181.7
0.17,172.7
0.175,175.2
0.18,172.3
0.185,167.6
0.19,167.9
0.195,169.1
0.2,164.9
0.205,167.3
0.21,169.2
0.215,170.3
0.22,169.1
0.225,168.2
0.23,172.2
0.235,169.7
0.24,167.6
0.245,166.6
0.25,164.2
