0.005,117.1
0.01,90.2
0.015,85.9
0.02,84.5
0.025,85.9
0.03,86.0
0.035,82.8
0.04,84.1
0.045,82.8
0.05,85.2
0.055,87.5
0.06,88.5
0.065,92.2
0.07,88.0
0.075,86.0
0.08,84.3
0.085,92.1
0.09,87.2
0.095,89.0
0.1,85.1
0.105,84.3
0.11,82.8
0.115,85.9
0.12,83.3
0.125,82.8
0.13,87.2
0.135,85.9
0.14,90.4
0.145,87.5
0.15,91.2
0.155,87.4
0.16,93.6
0.165,85.9
0.17,86.5
0.175,87.5
0.18,87.7
0.185,87.5
0.19,87.0
0.195,89.0
0.2,86.6
0.205,84.4
0.21,84.2
0.215,84.4
0.22,87.0
0.225,87.5
0.23,90.0
0.235,90.6
0.24,88.4
0.245,87.5
0.25,88.3
